SimTime,nrst,hl,uv,ov,oc,zc,gp,gp_ack,gn,gn_ack,get,pass
15849.935,1,1,1,0,1,0,0,1,0,0,1,0
15851.832,1,1,1,0,1,0,0,0,0,0,1,0
15859.832,1,1,1,0,1,0,0,0,1,0,1,0
15861.819,1,1,1,0,0,0,0,0,1,1,1,0
15884.819,1,1,1,0,0,0,0,0,0,1,1,0
15886.312,1,1,1,0,0,0,0,0,0,0,1,0
15904.312,1,1,1,0,0,0,1,0,0,0,1,0
15906.646,1,1,1,0,1,0,1,1,0,0,1,0
15942.646,1,1,1,0,1,0,0,1,0,0,1,0
15944.543,1,1,1,0,1,0,0,0,0,0,1,0
15952.543,1,1,1,0,1,0,0,0,1,0,1,0
15954.531,1,1,1,0,0,0,0,0,1,1,1,0
15977.531,1,1,1,0,0,0,0,0,0,1,1,0
15979.029,1,1,1,0,0,0,0,0,0,0,1,0
15997.029,1,1,1,0,0,0,1,0,0,0,1,0
15999.363,1,1,1,0,1,0,1,1,0,0,1,0
16035.363,1,1,1,0,1,0,0,1,0,0,1,0
16037.26,1,1,1,0,1,0,0,0,0,0,1,0
16045.26,1,1,1,0,1,0,0,0,1,0,1,0
16047.248,1,1,1,0,0,0,0,0,1,1,1,0
16070.248,1,1,1,0,0,0,0,0,0,1,1,0
16071.749,1,1,1,0,0,0,0,0,0,0,1,0
16089.749,1,1,1,0,0,0,1,0,0,0,1,0
16092.083,1,1,1,0,1,0,1,1,0,0,1,0
16128.083,1,1,1,0,1,0,0,1,0,0,1,0
16129.98,1,1,1,0,1,0,0,0,0,0,1,0
16137.98,1,1,1,0,1,0,0,0,1,0,1,0
16139.966,1,1,1,0,0,0,0,0,1,1,1,0
16162.966,1,1,1,0,0,0,0,0,0,1,1,0
16164.516,1,1,1,0,0,0,0,0,0,0,1,0
16182.516,1,1,1,0,0,0,1,0,0,0,1,0
16184.85,1,1,1,0,1,0,1,1,0,0,1,0
16220.85,1,1,1,0,1,0,0,1,0,0,1,0
16222.747,1,1,1,0,1,0,0,0,0,0,1,0
16230.747,1,1,1,0,1,0,0,0,1,0,1,0
16232.734,1,1,1,0,0,0,0,0,1,1,1,0
16255.734,1,1,1,0,0,0,0,0,0,1,1,0
16257.25,1,1,1,0,0,0,0,0,0,0,1,0
16275.25,1,1,1,0,0,0,1,0,0,0,1,0
16277.584,1,1,1,0,1,0,1,1,0,0,1,0
16313.584,1,1,1,0,1,0,0,1,0,0,1,0
16315.48,1,1,1,0,1,0,0,0,0,0,1,0
16323.48,1,1,1,0,1,0,0,0,1,0,1,0
16325.467,1,1,1,0,0,0,0,0,1,1,1,0
16348.467,1,1,1,0,0,0,0,0,0,1,1,0
16349.977,1,1,1,0,0,0,0,0,0,0,1,0
16367.977,1,1,1,0,0,0,1,0,0,0,1,0
16370.319,1,1,1,0,1,0,1,1,0,0,1,0
16406.319,1,1,1,0,1,0,0,1,0,0,1,0
16408.218,1,1,1,0,1,0,0,0,0,0,1,0
16416.218,1,1,1,0,1,0,0,0,1,0,1,0
16418.206,1,1,1,0,0,0,0,0,1,1,1,0
16441.206,1,1,1,0,0,0,0,0,0,1,1,0
16442.721,1,1,1,0,0,0,0,0,0,0,1,0
16460.721,1,1,1,0,0,0,1,0,0,0,1,0
16463.064,1,1,1,0,1,0,1,1,0,0,1,0
16499.064,1,1,1,0,1,0,0,1,0,0,1,0
16500.963,1,1,1,0,1,0,0,0,0,0,1,0
16508.963,1,1,1,0,1,0,0,0,1,0,1,0
16510.942,1,1,1,0,0,0,0,0,1,1,1,0
16533.942,1,1,1,0,0,0,0,0,0,1,1,0
16535.497,1,1,1,0,0,0,0,0,0,0,1,0
16553.497,1,1,1,0,0,0,1,0,0,0,1,0
16555.84,1,1,1,0,1,0,1,1,0,0,1,0
16591.84,1,1,1,0,1,0,0,1,0,0,1,0
16593.737,1,1,1,0,1,0,0,0,0,0,1,0
16601.737,1,1,1,0,1,0,0,0,1,0,1,0
16603.722,1,1,1,0,0,0,0,0,1,1,1,0
16626.722,1,1,1,0,0,0,0,0,0,1,1,0
16628.219,1,1,1,0,0,0,0,0,0,0,1,0
16646.219,1,1,1,0,0,0,1,0,0,0,1,0
16648.562,1,1,1,0,1,0,1,1,0,0,1,0
16684.562,1,1,1,0,1,0,0,1,0,0,1,0
16686.459,1,1,1,0,1,0,0,0,0,0,1,0
16694.459,1,1,1,0,1,0,0,0,1,0,1,0
16696.444,1,1,1,0,0,0,0,0,1,1,1,0
16719.444,1,1,1,0,0,0,0,0,0,1,1,0
16720.978,1,1,1,0,0,0,0,0,0,0,1,0
16738.978,1,1,1,0,0,0,1,0,0,0,1,0
16741.314,1,1,1,0,1,0,1,1,0,0,1,0
16777.314,1,1,1,0,1,0,0,1,0,0,1,0
16779.211,1,1,1,0,1,0,0,0,0,0,1,0
16787.211,1,1,1,0,1,0,0,0,1,0,1,0
16789.196,1,1,1,0,0,0,0,0,1,1,1,0
16812.196,1,1,1,0,0,0,0,0,0,1,1,0
16813.753,1,1,1,0,0,0,0,0,0,0,1,0
16831.753,1,1,1,0,0,0,1,0,0,0,1,0
16834.095,1,1,1,0,1,0,1,1,0,0,1,0
16870.095,1,1,1,0,1,0,0,1,0,0,1,0
16871.99,1,1,1,0,1,0,0,0,0,0,1,0
16879.99,1,1,1,0,1,0,0,0,1,0,1,0
16881.976,1,1,1,0,0,0,0,0,1,1,1,0
16904.976,1,1,1,0,0,0,0,0,0,1,1,0
16906.511,1,1,1,0,0,0,0,0,0,0,1,0
16924.511,1,1,1,0,0,0,1,0,0,0,1,0
16926.853,1,1,1,0,1,0,1,1,0,0,1,0
16962.853,1,1,1,0,1,0,0,1,0,0,1,0
16964.748,1,1,1,0,1,0,0,0,0,0,1,0
16972.748,1,1,1,0,1,0,0,0,1,0,1,0
16974.738,1,1,1,0,0,0,0,0,1,1,1,0
16997.738,1,1,1,0,0,0,0,0,0,1,1,0
16999.295,1,1,1,0,0,0,0,0,0,0,1,0
17017.295,1,1,1,0,0,0,1,0,0,0,1,0
17019.637,1,1,1,0,1,0,1,1,0,0,1,0
17055.637,1,1,1,0,1,0,0,1,0,0,1,0
17057.534,1,1,1,0,1,0,0,0,0,0,1,0
17065.534,1,1,1,0,1,0,0,0,1,0,1,0
17067.525,1,1,1,0,0,0,0,0,1,1,1,0
17090.525,1,1,1,0,0,0,0,0,0,1,1,0
17092.081,1,1,1,0,0,0,0,0,0,0,1,0
17110.081,1,1,1,0,0,0,1,0,0,0,1,0
17112.417,1,1,1,0,1,0,1,1,0,0,1,0
17148.417,1,1,1,0,1,0,0,1,0,0,1,0
17150.312,1,1,1,0,1,0,0,0,0,0,1,0
17158.312,1,1,1,0,1,0,0,0,1,0,1,0
17160.302,1,1,1,0,0,0,0,0,1,1,1,0
17183.302,1,1,1,0,0,0,0,0,0,1,1,0
17184.862,1,1,1,0,0,0,0,0,0,0,1,0
17202.862,1,1,1,0,0,0,1,0,0,0,1,0
17205.203,1,1,1,0,1,0,1,1,0,0,1,0
17241.203,1,1,1,0,1,0,0,1,0,0,1,0
17243.098,1,1,1,0,1,0,0,0,0,0,1,0
17251.098,1,1,1,0,1,0,0,0,1,0,1,0
17253.09,1,1,1,0,0,0,0,0,1,1,1,0
17276.09,1,1,1,0,0,0,0,0,0,1,1,0
17277.657,1,1,1,0,0,0,0,0,0,0,1,0
17295.657,1,1,1,0,0,0,1,0,0,0,1,0
17297.99,1,1,1,0,1,0,1,1,0,0,1,0
17333.99,1,1,1,0,1,0,0,1,0,0,1,0
17335.883,1,1,1,0,1,0,0,0,0,0,1,0
17343.883,1,1,1,0,1,0,0,0,1,0,1,0
17345.874,1,1,1,0,0,0,0,0,1,1,1,0
17368.874,1,1,1,0,0,0,0,0,0,1,1,0
17370.388,1,1,1,0,0,0,0,0,0,0,1,0
17388.388,1,1,1,0,0,0,1,0,0,0,1,0
17390.725,1,1,1,0,1,0,1,1,0,0,1,0
17426.725,1,1,1,0,1,0,0,1,0,0,1,0
17428.618,1,1,1,0,1,0,0,0,0,0,1,0
17436.618,1,1,1,0,1,0,0,0,1,0,1,0
17438.61,1,1,1,0,0,0,0,0,1,1,1,0
17461.61,1,1,1,0,0,0,0,0,0,1,1,0
17463.156,1,1,1,0,0,0,0,0,0,0,1,0
17481.156,1,1,1,0,0,0,1,0,0,0,1,0
17483.493,1,1,1,0,1,0,1,1,0,0,1,0
17519.493,1,1,1,0,1,0,0,1,0,0,1,0
17521.384,1,1,1,0,1,0,0,0,0,0,1,0
17529.384,1,1,1,0,1,0,0,0,1,0,1,0
17531.377,1,1,1,0,0,0,0,0,1,1,1,0
17554.377,1,1,1,0,0,0,0,0,0,1,1,0
17555.941,1,1,1,0,0,0,0,0,0,0,1,0
17573.941,1,1,1,0,0,0,1,0,0,0,1,0
17576.274,1,1,1,0,1,0,1,1,0,0,1,0
17612.274,1,1,1,0,1,0,0,1,0,0,1,0
17614.164,1,1,1,0,1,0,0,0,0,0,1,0
17622.164,1,1,1,0,1,0,0,0,1,0,1,0
17624.156,1,1,1,0,0,0,0,0,1,1,1,0
17647.156,1,1,1,0,0,0,0,0,0,1,1,0
17648.726,1,1,1,0,0,0,0,0,0,0,1,0
17666.726,1,1,1,0,0,0,1,0,0,0,1,0
17669.06,1,1,1,0,1,0,1,1,0,0,1,0
17705.06,1,1,1,0,1,0,0,1,0,0,1,0
17706.95,1,1,1,0,1,0,0,0,0,0,1,0
17714.95,1,1,1,0,1,0,0,0,1,0,1,0
17716.942,1,1,1,0,0,0,0,0,1,1,1,0
17739.942,1,1,1,0,0,0,0,0,0,1,1,0
17741.508,1,1,1,0,0,0,0,0,0,0,1,0
17759.508,1,1,1,0,0,0,1,0,0,0,1,0
17761.844,1,1,1,0,1,0,1,1,0,0,1,0
17797.844,1,1,1,0,1,0,0,1,0,0,1,0
17799.731,1,1,1,0,1,0,0,0,0,0,1,0
17807.731,1,1,1,0,1,0,0,0,1,0,1,0
17809.722,1,1,1,0,0,0,0,0,1,1,1,0
17832.722,1,1,1,0,0,0,0,0,0,1,1,0
17834.279,1,1,1,0,0,0,0,0,0,0,1,0
17852.279,1,1,1,0,0,0,1,0,0,0,1,0
17854.612,1,1,1,0,1,0,1,1,0,0,1,0
17890.612,1,1,1,0,1,0,0,1,0,0,1,0
17892.498,1,1,1,0,1,0,0,0,0,0,1,0
17900.498,1,1,1,0,1,0,0,0,1,0,1,0
