SimTime,power_in,p_$flow,gp_ack_bus[0]
55133.4476302,4.8459412355609475,0.57630925091586693,1
55133.4929361,4.8459425914336567,0.5760530257734352,1
55133.5835481,4.8459452997868908,0.5755607557045973,1
55133.764772,4.8459507038571834,0.57465895180835147,1
55134.0431219,4.8459589753921071,0.57349074050199744,1
55134.4544896,4.8459711500092348,0.57224311964174057,1
55134.9937606,4.8459870549897177,0.57145275411698859,1
55135.7404486,4.8460090627487862,0.57185233745996555,1
55135.9489708,4.8460152170839912,0.57225840762320013,1
55136.3660154,4.8460275580896655,0.57340408053303149,1
55136.4963691,4.8460314258071788,0.57384692421604622,1
55136.7570764,4.8460391797935021,0.5748278957873556,1
55137.1337369,4.8460504306450307,0.57640600573180967,1
55137.2591799,4.8460541910060249,0.5769612367952508,1
55137.5100661,4.8460617328897237,0.5780936090853187,1
55137.8404144,4.8460717072993935,0.57961478585553938,1
55138.2510199,4.8460841756153998,0.5815364296835055,1
55138.7513307,4.8460994753320428,0.5839111284520685,1
55138.9320724,4.8461050317597882,0.58477653665034801,1
55139.2935557,4.8461161916989379,0.58651710847837568,1
55140.0165225,4.8461387014299131,0.59003050525909506,1
55140.2623047,4.8461464118548605,0.59123347659653591,1
55140.7538693,4.8461619216151908,0.59364927918305133,1
55141.7369984,4.8461932987660266,0.59851150092637695,1
55142.0966494,4.8462048967702298,0.60029862306871162,1
55142.8159514,4.8462282858552435,0.6038819435621543,1
55144.2545555,4.8462758387822662,0.61107363222540145,1
55146.1605132,4.8463404355892621,0.62063106216613173,1
55148.3806414,4.8464179780241547,0.63178100058797326,1
55150.6038394,4.8464981077094542,0.64295056392271344,1
55154.221892,4.8466338172697148,0.66112282857286675,1
55159.2902093,4.8468349710931244,0.68655932886690918,1
55167.6058327,4.8471928965198989,0.72823562121465657,1
55181.9994578,4.8478941777411322,0.80020243045233397,1
55200,4.8489166048687684,0.88989697090719189,1
55230.924072,4.8508520946565259,1.0431906871558796,1
55230.9240872,4.8508520956340773,1.0431907662237589,1
55230.9241104,4.8508520971135489,1.0431908911518899,1
55230.9241185,4.8508520976320373,1.0431909349337896,1
55230.9241283,4.8508520982601269,1.0431909879707475,1
55230.924148,4.850852099516306,1.0431910940452325,1
55230.9241873,4.8508521020286626,1.0431913061964753,1
55230.924266,4.8508521070533783,1.0431917305080534,1
55230.9244232,4.8508521171028187,1.0431925791675536,1
55230.9247378,4.8508521372017412,1.0431942766317566,1
55230.9253669,4.8508521773997479,1.0431976721395528,1
